name;summary
/qiskit-algorithms/qiskit_algorithms.state_fidelities.compute_uncompute.ComputeUncompute;This class leverages the sampler primitive to calculate the state fidelity of two quantum circuits following the compute-uncompute method (see [1] for further reference). The fidelity can be defined as the state overlap.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.imaginary_time_evolver.ImaginaryTimeEvolver;Interface for Quantum Imaginary Time Evolution.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.pvqd.pvqd.PVQD;The projected Variational Quantum Dynamics (p-VQD) Algorithm.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.real_time_evolver.RealTimeEvolver;Interface for Quantum Real Time Evolution.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.time_evolution_problem.TimeEvolutionProblem;Time evolution problem class.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.trotterization.trotter_qrte.TrotterQRTE;Quantum Real Time Evolution using Trotterization.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.variational.var_qite.VarQITE;Variational Quantum Imaginary Time Evolution algorithm.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.variational.var_qrte.VarQRTE;Variational Quantum Real Time Evolution algorithm.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.variational.var_qte.VarQTE;Variational Quantum Time Evolution.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.variational.variational_principles.imaginary_mc_lachlan_principle.ImaginaryMcLachlanPrinciple;Class for an Imaginary McLachlan's Variational Principle. It aims to minimize the distance between both sides of the Wick-rotated Schrödinger equation with a quantum state given as a parametrized trial state. The principle leads to a system of linear equations handled by a linear solver. The imaginary variant means that we consider imaginary time dynamics.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.variational.variational_principles.imaginary_variational_principle.ImaginaryVariationalPrinciple;Abstract class for an Imaginary Variational Principle. The imaginary variant means that we consider imaginary time dynamics.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.variational.variational_principles.real_mc_lachlan_principle.RealMcLachlanPrinciple;Class for a Real McLachlan's Variational Principle. It aims to minimize the distance between both sides of the Schrödinger equation with a quantum state given as a parametrized trial state. The principle leads to a system of linear equations handled by a linear solver. The real variant means that we consider real time dynamics.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.variational.variational_principles.real_variational_principle.RealVariationalPrinciple;Class for a Real Variational Principle. The real variant means that we consider real time dynamics.
/qiskit-algorithms/qiskit_algorithms.time_evolvers.variational.variational_principles.variational_principle.VariationalPrinciple;A Variational Principle class. It determines the time propagation of parameters in a quantum state provided as a parametrized quantum circuit (ansatz).
/qiskit-algorithms/qiskit_algorithms.variational_algorithm.VariationalAlgorithm;The Variational Algorithm Base Class.
